id,filename,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,centroid_1,bandwidth_1,rolloff_1,zcr_1
0793,0793_Forest Echoes.mp3,[103.359375],-284.74796,142.88152,48.55546,6.963654,5.9075227,1.5876504,-3.6570053,-4.8218703,-6.2332444,-4.9037733,-9.881994,-7.837358,-9.02831,0.076765776,0.062697805,0.006686085,-0.009551278,-0.005693791,0.0012175422,-0.0011773438,-0.006729676,-0.0100630075,-0.008188321,-0.0033657008,-0.0038425194,-0.004401778,0.17923369,0.062395558,0.48642504,0.18585284,0.06205785,0.11011798,0.14436027,0.46884644,0.06589303,0.27956593,0.35014948,0.05780028,1101.1929944281615,1442.581330247,2143.962085259537,0.05011813164312755
0794,0794_Fortress(1).mp3,[123.046875],-187.7063,92.606026,32.099773,22.733387,17.656834,13.647594,5.1993027,4.8257103,6.2387905,9.490524,3.4614432,6.3443866,-0.8497663,0.036192514,-0.00899026,-0.008441498,0.0017362351,-0.0002956355,0.0013295511,0.00049001793,0.00022684889,-0.00096698303,-9.398979e-05,-0.0013509803,-0.001126435,-0.0037765142,0.2672712,0.29342017,0.68228287,0.33078754,0.41739282,0.43282673,0.40334657,0.47274902,0.32362816,0.47996286,0.42931738,0.23991948,1710.2679568914964,2042.5683351266057,3825.9716271437837,0.056271478584467995
0797,0797_Fractured Reality.mp3,[89.10290948],-140.88657,73.15744,19.83167,27.66237,18.274017,13.830426,7.1553183,9.828719,2.6760051,7.6396303,0.53634655,5.67043,-1.2437578,0.020253409,0.013589129,-3.0845845e-07,0.0010127116,0.00083327683,0.0029582581,0.001332356,0.0017962831,-0.0010911459,0.0012891287,0.001445592,0.0023669582,0.00070287875,0.695909,0.28269207,0.27170488,0.20860462,0.19925588,0.20755675,0.23412049,0.4622725,0.52949095,0.31801778,0.2660458,0.28064847,2586.244790744994,2646.409183479669,5707.108078848095,0.093131547488094
0795,0795_Fortress.mp3,[135.99917763],-85.5832,65.675156,-11.043843,20.813953,7.706961,13.6090355,1.8170391,10.155123,5.0623736,11.335392,0.2976863,5.4771943,-1.895373,0.14106628,0.01195226,0.002521224,0.017371207,0.0011274677,0.008335684,-0.0018411236,-0.0017429994,-0.001983086,0.00017546999,-0.0030321304,-0.0008880541,4.773792e-05,0.27471647,0.37573823,0.326998,0.31141812,0.51803386,0.36686462,0.6787147,0.6162755,0.30863467,0.43899783,0.3137041,0.69080496,2834.3353551389746,2666.6472303760174,5911.169317049873,0.1288756728967765
0796,0796_Fracture.mp3,[129.19921875],-80.33137,76.70509,-10.931893,36.52788,13.325536,10.118142,5.39947,12.044571,4.5648646,8.654273,-2.5242226,4.836913,-4.976191,0.060438275,0.008012086,0.0013788794,0.005147933,0.0019576808,0.0017637968,0.0001736393,0.00028790976,-0.00078168337,0.00016469485,-0.00033635116,-0.00029883895,-0.0011311052,0.26989987,0.24228327,0.38932782,0.8001008,0.3070057,0.29723617,0.21541597,0.3302665,0.3301573,0.21277033,0.39546683,0.2127597,2606.1285641084983,2573.966756410975,5467.65698111631,0.10889956124495252
2140,2140_Wide Open.mp3,[123.046875],-118.011765,72.87704,5.1387568,22.261127,2.8614857,2.1544523,0.65799946,0.9743897,-6.0476704,6.9785705,-4.0323124,1.3888038,-4.168963,0.04369829,0.013097847,0.00021192302,0.0033552034,0.0009892406,0.0023870855,0.00080687366,-0.0013106199,-0.00062503916,0.0027583719,0.0011691641,0.001662887,0.001130994,0.1721085,0.2506337,0.14984581,0.21882242,0.5723536,0.18132737,0.2904058,0.16765957,0.3020672,0.27157488,0.2087631,0.5431163,2584.6604752108565,2674.6984264194366,5597.573496773774,0.10572832650376754
0279,0279_Clayman.mp3,[95.703125],-169.59714,69.82238,6.55015,15.748486,14.604272,3.4680004,4.7450266,-2.383035,-3.805202,5.81105,-8.9836645,0.44601655,-4.670394,0.01572649,-0.0023343351,-0.0028584187,-0.0006595212,0.0003866164,0.003374522,-0.001750048,-0.0014182715,-0.0012596837,-0.002496756,-0.0018959434,-0.0013324433,-0.0021290607,0.26153427,0.14817496,0.19732998,0.20733997,0.5913361,0.18605985,0.16322838,0.20285417,0.23619036,0.48252714,0.2044829,0.33619252,2539.925146472086,2657.2928810625817,5445.347498821702,0.10311583680383854
1899,1899_Take a Bow.mp3,[143.5546875],-149.55444,61.200882,8.973101,11.666798,12.680603,-3.3953528,7.5624514,0.25070015,-2.900682,9.384811,-11.277241,2.5587974,-4.647182,0.029843275,0.013612801,0.0053720335,-0.0010132233,0.0045727366,0.009372985,-0.003127477,0.004343696,0.0025442818,-0.0038523127,0.0031765923,-0.00013901122,0.000574961,0.26277158,0.11690065,0.22657968,0.16668381,0.44839075,0.34140763,0.18812476,0.20318754,0.17717181,0.38216004,0.13997549,0.27653873,2872.7728838376433,2703.8195011734697,6120.550472269775,0.12727835418533215
0003,0003_Absence(2).mp3,[161.49902344],-180.17986,97.1159,29.913109,16.015556,24.516806,6.9647284,4.44373,1.9351782,0.94984066,5.387361,-4.11242,0.736107,-8.194111,0.11251722,0.012366567,-0.028943062,0.0017481297,-0.01457849,-0.0078923935,-0.002396949,-0.002745604,-0.0013091804,-0.002413365,-0.00356566,0.001310124,-0.000760795,0.08540511,0.26160717,0.063166566,0.12120528,0.37118003,0.09079161,0.21533446,0.102101415,0.23498657,0.28732052,0.10024377,0.41638088,2078.3135097886598,2689.160812155198,5125.86543507284,0.05861571926432083
1287,1287_Paper Thin.mp3,[89.10290948],-93.37752,61.937897,-7.676876,29.716621,10.808205,12.86372,6.699628,8.767666,4.4945455,11.561858,1.8479623,3.8391523,-3.2731304,0.071996786,0.0063334773,-0.003920442,0.004141954,-0.0009064464,0.005345645,0.005060814,0.002813961,0.0021862774,0.0029316244,0.0012292138,0.0012701681,0.0012270538,0.35175458,0.68543017,0.3498975,0.3297408,0.42296806,0.3327947,0.39710164,0.3617388,0.55513847,0.38981107,0.26945022,0.33737028,2904.6781905545054,2709.578295261873,6126.1805890265705,0.13099027709618621
